"SOFARS_200001","200001","200001.zip"
"SOFARS_200201","200201","200201.zip"
"SOFARS_200202","200202","200202.zip"
"SOFARS_200301","200301","200301.zip"
"SOFARS_200401","200401","200401.zip"
"SOFARS_200402","200402","200402.zip"
"SOFARS_200501","200501","200501.zip"
"SOFARS_200601","200601","200601.zip"
"SOFARS_200701","200701","200701.zip"
"SOFARS_200702","200702","200702.zip"
"SOFARS_200804","200804","200804.zip"
"SOFARS_200806","200806","200806.zip"
"SOFARS_200807","200807","200807.zip"
"SOFARS_200808","200808","200808.zip"
"SOFARS_200901","200901","200901.zip"
"SOFARS_200903","200903","200903.zip"
"SOFARS_200907","200907","200907.zip"
"SOFARS_200909","200909","200909.zip"
"SOFARS_200911","200911","200911.zip"
"SOFARS_201001","201001","201001.zip"
"SOFARS_201002-1","201002-1","201002-1.zip"
"SOFARS_201002","201002","201002.zip"
"SOFARS_201003","201003","201003.zip"
"SOFARS_201005","201005","201005.zip"
"SOFARS_201006","201006","201006.zip"
"SOFARS_201007","201007","201007.zip"
"SOFARS_201008","201008","201008.zip"
"SOFARS_201010","201010","201010.zip"
"SOFARS_201011","201011","201011.zip"
"SOFARS_201101","201101","201101.zip"
"SOFARS_201106","201106","201106.zip"
"SOFARS_201107","201107","201107.zip"
"SOFARS_201109","201109","201109.zip"
"SOFARS_201111","201111","201111.zip"
"SOFARS_201201","201201","201201.zip"
"SOFARS_201202","201202","201202.zip"
"SOFARS_201203","201203","201203.zip"
"SOFARS_201205","201205","201205.zip"
"SOFARS_201207","201207","201207.zip"
"SOFARS_201210","201210","201210.zip"
"SOFARS_201212","201212","201212.zip"
"SOFARS_201301","201301","201301.zip"
"SOFARS_201303","201303","201303.zip"
"SOFARS_201304","201304","201304.zip"
"SOFARS_201309","201309","201309.zip"
"SOFARS_201402","201402","201402.zip"
"SOFARS_201405","201405","201405.zip"
"SOFARS_201410A","201410A","201410A.zip"
"SOFARS_201412","201412","201412.zip"
"SOFARS_201502","201502","201502.zip"
"SOFARS_201504","201504","201504.zip"
"SOFARS_201507","201507","201507.zip"
"SOFARS_201510","201510","201510.zip"
"SOFARS_201512","201512","201512.zip"
"SOFARS_201608","201608","201608.zip"
"SOFARS_201708","201708","201708.zip"
"SOFARS_201803","201803","201803.zip"
"SOFARS_201804","201804","201804.zip"
"SOFARS_201807","201807","201807.zip"
"SOFARS_201808","201808","201808.zip"
"SOFARS_201811","201811","201811.zip"
"SOFARS_201812","201812","201812.zip"
"SOFARS_202002","202002","202002.zip"
"SOFARS_202006","202006","202006.zip"
"SOFARS_202009","202009","202009.zip"
"SOFARS_202105","202105","202105.zip"
"SOFARS_202106","202106","202106.zip"
"SOFARS_202107","202107","202107.zip"
